time,robot_x,robot_y,robot_z,yaw,mode,obstacle_type,obstacle_x,obstacle_y,obstacle_z,obstacle_sx,obstacle_sy,obstacle_sz,target_x,target_y,target_z
3.744,0.21167932882856963,9.565241546728476,0.5728778626578849,-1.6139472009889109,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
3.7760000000000002,0.21083505026300334,9.54396708921551,0.5722011120068212,-1.6138521844437514,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
3.8080000000000003,0.2099875812289577,9.522660846900896,0.5718039918924136,-1.6137344139109515,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
3.84,0.2091370782753112,9.501323846611525,0.5717029420900658,-1.6136010325685601,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
3.872,0.20828369991797135,9.479957013332632,0.5718889367828247,-1.6134605807471225,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
3.904,0.20742760179431055,9.45856117544969,0.572329695470757,-1.6133222023085068,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
3.936,0.20656893162732815,9.437137070555426,0.5729737538119424,-1.6131946985247403,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
3.968,0.2057078245791509,9.415685352585408,0.5737559202059828,-1.6130855970854412,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
4.0,0.2048443995852189,9.394206601945653,0.5746035518042332,-1.6130003836033247,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
4.032,0.20397875714445926,9.37270134010812,0.5754430588709619,-1.6129419928081419,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
4.064,0.20311097883723536,9.351170049080567,0.5762060799595627,-1.6129106042748376,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
4.096,0.20224112860345309,9.329613194692953,0.5768348456709704,-1.6129037952661662,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
4.128,0.201369255557449,9.30803125136312,0.577286340617902,-1.612916489019014,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
4.16,0.2004953982121227,9.286424725377104,0.5775349544435503,-1.6129416060780153,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
4.192,0.199619589559736,9.264794173104242,0.5775735041505274,-1.612971179983103,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
4.224,0.1987418622237833,9.243140211108077,0.5774126610896976,-1.612997403561672,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
4.256,0.19786225300940086,9.221463516561034,0.5770789392548501,-1.6130133920802483,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
4.288,0.196980806430127,9.19976481822388,0.5766115026463421,-1.6130135899863334,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
4.32,0.19609757707264175,9.178044879973614,0.5760581239713447,-1.6129938740655736,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
4.352,0.1952126308875686,9.156304480012857,0.5754706712881489,-1.6129514758499184,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
4.384,0.19432604561476677,9.134544389251875,0.5749005125240202,-1.612884854729488,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
4.416,0.19343791056302487,9.112765351951175,0.5743942124353961,-1.6127936226897759,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
4.448,0.1925483258944495,9.090968070766724,0.5739898568880776,-1.612678843828919,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
4.48,0.1916574013005293,9.069153197152271,0.5737142860753333,-1.6125434424195009,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
4.5120000000000005,0.19076525384991366,9.04732132688152,0.573581466525875,-1.612391952625634,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
4.5440000000000005,0.1898720051351577,9.025472999644311,0.5735920967564087,-1.6122302300904794,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
4.5760000000000005,0.1889777778517708,9.003608701379529,0.5737344182485985,-1.6120649655872634,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
4.6080000000000005,0.18808269206071085,8.981728868238346,0.5739860910007683,-1.6119030490309905,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
4.64,0.18718686148456182,8.959833891600475,0.5743168975420478,-1.6117508811112011,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
4.672,0.18629039022772997,8.937924124078316,0.5746919733434299,-1.6116137413323204,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
4.704,0.18539337027766173,8.915999886703286,0.5750752322049003,-1.6114953018677025,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
4.736,0.18449588004769002,8.894061477420031,0.5754326624654671,-1.6113973412871847,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
4.768,0.18359798408793104,8.872109180693148,0.5757352077604293,-1.6113196794553137,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
4.8,0.1826997339448192,8.850143277614983,0.5759610055265225,-1.6112604518225397,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
